
                        整租 | 交通便利！商圈成熟！经典复式！                    2700

                        整租 | 钟楼 电梯 设施齐全 温馨两房 拎包即住 锦阳花苑                    1750

                        整租 | 整租  弘阳上城 3室2厅1卫 电梯房 南北通透 精                    2500

                        整租 | [力荐]恐龙园附近 世茂广场 1室1卫 豪华装修 电                    1800

                        整租 | 首租 地铁口 万达对面 环境优美  视野开阔 全天采                    1800

                        整租 | 勤业新村114栋五楼 2室1厅1卫                    1100

                        整租 | 高架旁 科教城北 新城南都花海 精装修 电梯房 拎包                    2200

                        整租 | 押一付一 复式2层 誉天大厦新城公馆综合楼 拎包入住                    1850

                        整租 | 有钥匙! 新城香悦半岛 2室2厅 精装  拎包即住                    2500

                        整租 | 吾悦广场全能家公寓精装复式家电齐全随时看房拉你记住急                    3000

                        整租 | 全新房优惠虹西路公寓楼一室一卫                    600

                        整租 | (真实在租)新上！精装修！首，次出租！省中24中陪读                    2500

                        整租 | 工农新村 2室1厅1卫 80平 南北通透 精装修                    1600

                        单间 | 遥观个人房东，400到580单间，无需中介费，交一押                    400

                        整租 | 临津花园 2室2厅1卫 电梯房 精装修 80平                    1600

                        整租 | 无中介费   随时看房   采光好   交通方便                    2500

                        整租 | 吾悦华府 高档小区 精装修 可拎包入住                    2900

                        单间 | 万象府有一室一厅。室内有空调，洗衣机，热水器，有燃气                    1150

                        整租 | 岸头佳园(二区) 电梯房 单间独立卫650到1100                    800

                        单间 | 新出御城主卧独卫，无中介费                    999

                        整租 | 新出月付 民水民电 钟楼吾悦旁 阳光充足莱蒙双子星座                    1900

                        整租 | （真实在租）精致装修大3房！设施齐全！采光很好！随时                    5500

                        整租 | （限时）无中介费 可月付！世茂广场 尔家公寓 免 物                    2100

                        整租 | 金科保利北郡花园 精致公寓 家具齐全 拎包入住                    2200

                        整租 | 新城香溢紫郡 2室2厅1卫 电梯房 71平 精装修                    2500

                        整租 | 聚湖雅苑紧靠吾悦广场与刘海栗小学和桥北中学，小区环境                    2100

                        单间 | 个人无中介费，精研科技旁桃李东方有大小单间独立卫拎包                    500

                        单间 | 个人，龙湖天街对面星悦花都，龙湖紫宸，星韵城大小单间                    500

                        整租 | 横林瑞丰花苑单间出租  独立卫生间                    600

                        整租 | 新上 一楼带院子 荆川里小区 精装修2房 1900元                    1900

                        整租 | 干净！卫生间有窗户，有钥匙随时看，凯旋城西区新出一居                    1150

                        整租 | (整租)免中介费河狸公寓精装，可拎包入住价格便宜                    1000

                        整租 | 南甸苑 3室2厅2卫                    2800

                        整租 | （真实在租）精装2房！设施齐全拎包可住！业主诚租寻高                    4000

                        整租 | 青山湾北区 2室2厅1卫 精装修 电梯房 107平                    2500

                        整租 | 毗邻恐龙园~真实拍图，品质小区小高层，精装两房首租                    2200

                        整租 | （真实）可月租 无中介费 酒店式公寓直租 恐龙园旁                     2000

                        整租 | 绿地峰云汇东区两房精装修出租！实拍照片，房东自住装修                    2200

                        单间 | 新上！好房幼儿园旁精装修，可做饭设备齐全，采光好，领                    500

                        整租 | 横林便宜两室（靠抢）房东出物业电梯费拎包入住，更多房                    1700

                        单间 | 精装修房间，无中介费，价格可低，靠近公司，房间内卫生                    400

                        单间 | 无中介费 光樾华庭 港悦府有主卧独卫，带阳台房间，副                    500

                        整租 | 个人精装3室1厅2卫1厨，交通方便，环镜优美随时看。                    2000

                        整租 | 横林瑞宁新园两室出租  精装 电梯上下                    1800

                        整租 | 湖港名居精装三室出租，好看房，房间干净。                    2300

                        整租 | 个人，房源，无中介费，拎包入住                    2200

                        整租 | 尔家酒店公寓 1室1厅1卫 2000元月 电梯房 5                    1900

                        整租 | 紧靠风景秀丽的长荡湖2公里临近240省道周边工厂较多                    1700

                        整租 | （真实在租）精装3房2卫！3个房间朝南！北郊中学凯纳                    3200

                        整租 | 工房北区精装一室一厅 家电齐全 随时好住 免费停车                     1100

                        单间 | 无中介，荣华里带阳台带独卫出租850每月，可以简单做                    850

                        整租 | （真实在租）新上！精装2房！采光很好！南北通！近学校                    2000

                        整租 | 吾悦万达旁，香聚雅苑，三室两厅两卫，2700包物业，                    2700

                        整租 | （真实在租）精装大平层！3房2厅2卫！业主诚租寻高素                    6500

                        整租 | (整租)免中介费河狸鸣新别院精装，可拎包入住价格便宜                    800

